Year,race,sex,Arrest type,Juvenile indicator,Total Arrests,Population,"Arrests per 100,000"
1980,All Combined,Both Combined,All Combined,0,1400399,17230300,8127.537
1981,All Combined,Both Combined,All Combined,0,1521843,17706106.72,8595.018
1982,All Combined,Both Combined,All Combined,0,1520619,18181913.47,8363.36
1983,All Combined,Both Combined,All Combined,0,1568574,18657720.03,8407.104
1984,All Combined,Both Combined,All Combined,0,1610792,19133526.84,8418.688
1985,All Combined,Both Combined,All Combined,0,1783798,19609333.5,9096.679
1986,All Combined,Both Combined,All Combined,0,1878421,20085140.16,9352.292
1987,All Combined,Both Combined,All Combined,0,1946009,20560947,9464.588
1988,All Combined,Both Combined,All Combined,0,2040727,21036753.5,9700.77
1989,All Combined,Both Combined,All Combined,0,2152101,21512560.31,10003.93
1990,All Combined,Both Combined,All Combined,0,2172291,21988367,9879.273
1991,All Combined,Both Combined,All Combined,0,1931896,22255857.59,8680.394
1992,All Combined,Both Combined,All Combined,0,1809945,22523348.38,8035.861
1993,All Combined,Both Combined,All Combined,0,1713532,22790839.22,7518.512
1994,All Combined,Both Combined,All Combined,0,1692917,23058329.91,7341.889
1995,All Combined,Both Combined,All Combined,0,1631789,23325820.5,6995.634
1996,All Combined,Both Combined,All Combined,0,1641343,23593311.13,6956.815
1997,All Combined,Both Combined,All Combined,0,1654144,23860801.72,6932.475
1998,All Combined,Both Combined,All Combined,0,1611960,24128292.78,6680.788
1999,All Combined,Both Combined,All Combined,0,1523933,24395783.31,6246.707
2000,All Combined,Both Combined,All Combined,0,1460705,24663274,5922.592
2001,All Combined,Both Combined,All Combined,0,1464475,24050763,6089.1
2002,All Combined,Both Combined,All Combined,0,1492372,24903151,5992.704
2003,All Combined,Both Combined,All Combined,0,1555026,25298742,6146.653
2004,All Combined,Both Combined,All Combined,0,1608227,25494686,6308.087
2005,All Combined,Both Combined,All Combined,0,1629425,25665530,6348.69
2006,All Combined,Both Combined,All Combined,0,1657456,26913190,6158.527
2007,All Combined,Both Combined,All Combined,0,1665370,27145831,6134.901
2008,All Combined,Both Combined,All Combined,0,1681857,27407685,6136.443
2009,All Combined,Both Combined,All Combined,0,1614696,27529898,5865.245
2010,All Combined,Both Combined,All Combined,0,1521167,28045434,5423.938
2011,All Combined,Both Combined,All Combined,0,1395868,28428497,4910.101
2012,All Combined,Both Combined,All Combined,0,1383367,28811886,4801.376
2013,All Combined,Both Combined,All Combined,0,1363614,29166485,4675.277
1980,All Combined,Both Combined,Felony - Drug,0,57682,17230300,334.7707
1981,All Combined,Both Combined,Felony - Drug,0,60765,17706106.72,343.1867
1982,All Combined,Both Combined,Felony - Drug,0,62456,18181913.47,343.5062
1983,All Combined,Both Combined,Felony - Drug,0,73318,18657720.03,392.9633
1984,All Combined,Both Combined,Felony - Drug,0,85408,19133526.84,446.3788
1985,All Combined,Both Combined,Felony - Drug,0,99834,19609333.5,509.1147
